module	name	heures
3101	Anglais	30
3102	LV2	20
3103	Théories de l'information et de la com.	40
3104	Esthétique et expression artistique	25
3105	Ecriture pour les médias numériques	35
3106	Communication expression écrite et orale	30
3107	Gestion de projet	25
3108	PPP	20
3109	Environnement juridique, éco, mercatique	40
3110	Projet tutoré	0
3201	Culture scientifique et traitement de l'info.	45
3202	Développement web	35
3203	Programmation objet et évènementielle	35
3204	Services sur réseaux	35
3205	Infographie	35
3206	Intégration multimedia	35
3207	Production audiovisuelle	35
3208	Projet tutoré	0
