module	name	heures
4101	Anglais	30
4102	Module complémentaire 1 (UE1)	40
4103	Module complémentaire 2 (UE1)	40
4104	Environnement juridique, éco, mercatique	40
4105	Projet tutoré	0
4106	Stage	0
4201	Module complémentaire 1 (UE2)	40
4202	Module complémentaire 2 (UE2)	40
4203	Intégration et gestion de contenu	40
4204	Projet tutoré	0
4205	Stage	0
